exit_id,employee_id,exit_date,reason_for_leaving,would_recommend_company,final_comments
47,897,2024-04-02,Relocated to Forbidden Forest,Yes,Oil standard offer affect consumer his control low act fly management animal voice protect crime everything follow both red.
48,381,2023-10-07,Lack of Growth Opportunities,Yes,Style especially apply edge push collection spring five always.
49,575,2023-08-20,Switched to Potion Crafting,Maybe,Way mention should get stop first deep century door test yard.
50,243,2024-09-18,Desire to Teach at Hogwarts,Only for Dark Magic Roles,
51,654,2024-10-19,Conflict with Team,No,
52,232,2024-12-27,Started Own Magic Practice,No,
53,282,2024-04-22,Better Offer from SpellCo,Only for Dark Magic Roles,
54,261,2023-05-31,Conflict with Team,Maybe,House bad some action situation quickly economy ten break then.
55,688,2023-05-29,Started Own Magic Practice,Yes,Fire box oil bed suffer on whom work door good should perform.
56,382,2024-03-21,Relocated to Forbidden Forest,Yes,
57,702,2024-02-17,Better Offer from SpellCo,Yes,
58,154,2023-08-02,Switched to Potion Crafting,Only for Dark Magic Roles,News some even few itself television her federal although investment work like environmental whether key per.
59,127,2024-05-09,Burnout from Over-Enchantment,No,
60,443,2024-05-26,Burnout from Over-Enchantment,Only for Dark Magic Roles,Rock benefit glass design note hard but possible dream require within view.
61,996,2024-09-12,Burnout from Over-Enchantment,Only for Dark Magic Roles,
62,74,2023-08-17,Banned from Ministry-Level Magic,Only for Dark Magic Roles,
63,473,2024-06-03,Better Offer from SpellCo,Yes,With expect watch person must law school control suggest pressure community especially message foot relate either.
64,82,2024-07-11,Banned from Ministry-Level Magic,No,Impact memory expert according economic true three bag whatever offer at coach shake civil.
65,198,2023-04-23,Banned from Ministry-Level Magic,No,Rich member TV fall physical true mind month avoid deal different.
66,184,2023-10-25,Better Offer from SpellCo,No,
67,583,2024-09-29,Started Own Magic Practice,No,
68,853,2024-11-21,Switched to Potion Crafting,No,Wish feel begin manager economic evidence experience feel ahead step put street yeah.
69,447,2023-09-15,Desire to Teach at Hogwarts,No,
70,989,2025-02-14,Lack of Growth Opportunities,Yes,
71,851,2025-01-09,Banned from Ministry-Level Magic,Only for Dark Magic Roles,Opportunity should relationship step recent enter election head dream tell general cell miss account wrong radio plan certainly media.
72,916,2023-11-09,Relocated to Forbidden Forest,No,
73,67,2023-11-04,Relocated to Forbidden Forest,Maybe,
74,513,2023-12-10,Lack of Growth Opportunities,Only for Dark Magic Roles,
75,478,2024-04-11,Relocated to Forbidden Forest,Only for Dark Magic Roles,Single into prove prove range scene final leader push.
76,718,2024-03-25,Lack of Growth Opportunities,Only for Dark Magic Roles,
77,767,2024-06-16,Banned from Ministry-Level Magic,Maybe,Down activity fear view machine skill travel two old allow current natural ready chance music meeting pull ever toward.
78,914,2024-11-14,Relocated to Forbidden Forest,No,
79,442,2025-03-15,Banned from Ministry-Level Magic,Only for Dark Magic Roles,Some return fly answer box general end try watch hope environment great another wonder control industry.
80,322,2023-06-26,Better Offer from SpellCo,Only for Dark Magic Roles,
81,325,2024-11-17,Lack of Growth Opportunities,Yes,Toward main world us film he coach teacher wrong authority example community wait position bank entire agree not before pretty.
82,995,2024-09-05,Switched to Potion Crafting,No,
83,831,2024-11-09,Better Offer from SpellCo,Maybe,
84,682,2023-05-04,Lack of Growth Opportunities,Maybe,
85,244,2024-02-25,Relocated to Forbidden Forest,No,
86,516,2023-12-16,Burnout from Over-Enchantment,Maybe,Popular rich behavior learn wide by enough five agent adult those free dream themselves red tend color instead entire.
87,262,2024-02-20,Conflict with Team,Only for Dark Magic Roles,
88,573,2024-02-20,Switched to Potion Crafting,Maybe,Difficult well another name board discuss affect management remember west resource no technology of beyond.
89,476,2024-09-19,Switched to Potion Crafting,Yes,Score heavy trouble outside night fight often consumer main make morning.
90,997,2024-01-10,Burnout from Over-Enchantment,Only for Dark Magic Roles,
91,841,2024-03-03,Lack of Growth Opportunities,Maybe,Detail study keep whole industry my measure onto at visit as little door.
92,594,2023-05-23,Lack of Growth Opportunities,Only for Dark Magic Roles,Political executive property window often purpose common record plan.
93,468,2024-12-31,Better Offer from SpellCo,Maybe,Own child when nation challenge soon would response like air with attorney team west available first race choice.
94,422,2024-04-28,Conflict with Team,No,
95,670,2023-11-01,Desire to Teach at Hogwarts,Only for Dark Magic Roles,
96,358,2024-12-08,Better Offer from SpellCo,Maybe,Imagine step cold college sometimes form only tell fight former need TV onto defense image language suggest full.
97,405,2023-12-07,Burnout from Over-Enchantment,Yes,Relate state story say Mr more build either with.
98,874,2023-05-16,Banned from Ministry-Level Magic,Only for Dark Magic Roles,
99,745,2023-05-09,Started Own Magic Practice,Yes,
100,303,2023-12-07,Burnout from Over-Enchantment,Only for Dark Magic Roles,Music fight improve art us though sing popular worker.
101,819,2024-03-31,Banned from Ministry-Level Magic,Maybe,
102,578,2024-01-02,Banned from Ministry-Level Magic,Only for Dark Magic Roles,Occur amount population reduce certain which system measure sing free long assume.
103,126,2024-08-04,Better Offer from SpellCo,Maybe,Production care five discussion public affect their near sit whose several under sell.
104,717,2024-05-07,Conflict with Team,No,
105,955,2025-03-22,Conflict with Team,Only for Dark Magic Roles,
106,823,2024-05-16,Switched to Potion Crafting,Maybe,
107,664,2024-04-28,Better Offer from SpellCo,Only for Dark Magic Roles,
108,227,2024-03-23,Better Offer from SpellCo,No,
109,22,2025-02-23,Switched to Potion Crafting,Maybe,Fire food sing suggest ready seat staff security nice agent model traditional choice ten south stock development head surface live.
110,221,2024-02-20,Banned from Ministry-Level Magic,Yes,Industry those really early computer husband write become will around.
111,105,2023-06-01,Lack of Growth Opportunities,Maybe,On religious face total nature score seek also record six window I commercial pass draw.
112,890,2023-12-16,Desire to Teach at Hogwarts,Yes,Cup rather six stand cup class easy adult police fine or plant both several quickly all.
113,396,2023-06-04,Burnout from Over-Enchantment,Yes,
114,695,2024-07-20,Switched to Potion Crafting,Yes,Last money center base measure poor test threat point not continue power without last research lot necessary pay.
115,520,2024-01-01,Conflict with Team,No,
116,511,2024-02-13,Burnout from Over-Enchantment,Maybe,Western include again about feel radio medical realize today he raise.
117,384,2023-06-28,Desire to Teach at Hogwarts,Maybe,
118,141,2024-07-09,Burnout from Over-Enchantment,Only for Dark Magic Roles,Him suggest property citizen business enjoy collection suggest eye various end big.
119,757,2024-03-02,Better Offer from SpellCo,Only for Dark Magic Roles,Most production ball however official indeed their example mean few record even deal start present.
120,548,2023-08-11,Better Offer from SpellCo,Only for Dark Magic Roles,
121,138,2024-04-27,Lack of Growth Opportunities,Only for Dark Magic Roles,True rest who if change fill firm trip shoulder those suddenly couple discussion degree letter.
122,970,2024-06-23,Started Own Magic Practice,No,Anything huge end media program else red television space win agency size front story trip argue.
123,917,2023-07-19,Relocated to Forbidden Forest,Maybe,Such admit lead relate notice beyond perform better break brother surface I they natural never.
124,758,2024-01-13,Better Offer from SpellCo,Yes,Front argue turn study military you consider huge this morning thing time news alone continue easy social must together consider room.
125,359,2024-12-18,Better Offer from SpellCo,No,
126,850,2024-07-31,Desire to Teach at Hogwarts,Maybe,
127,527,2025-03-19,Relocated to Forbidden Forest,Only for Dark Magic Roles,Only walk discuss behind become assume smile wide during including attorney ball half always society sound produce yard.
128,370,2025-03-23,Banned from Ministry-Level Magic,Yes,
129,236,2024-09-09,Banned from Ministry-Level Magic,Maybe,
130,580,2025-01-24,Lack of Growth Opportunities,Maybe,Who may summer skin manage top he drug office upon agent lose girl political final community image medical operation often.
131,286,2024-06-23,Started Own Magic Practice,Yes,
132,576,2023-12-31,Desire to Teach at Hogwarts,Only for Dark Magic Roles,Often safe interesting source none idea recognize think simply officer whole.
133,824,2024-07-18,Burnout from Over-Enchantment,No,
134,230,2023-09-30,Lack of Growth Opportunities,No,
135,265,2023-07-18,Switched to Potion Crafting,Only for Dark Magic Roles,
136,536,2024-08-21,Banned from Ministry-Level Magic,Maybe,Military left our test TV describe their sign early.
137,568,2023-07-25,Desire to Teach at Hogwarts,Yes,
138,770,2023-10-02,Relocated to Forbidden Forest,Only for Dark Magic Roles,Dinner president recently provide fish event natural bag activity.
139,595,2023-06-27,Lack of Growth Opportunities,No,
140,873,2024-05-16,Lack of Growth Opportunities,Yes,
141,123,2025-01-29,Banned from Ministry-Level Magic,Only for Dark Magic Roles,
142,353,2023-06-02,Started Own Magic Practice,Yes,
143,774,2023-07-09,Started Own Magic Practice,No,Outside may majority skin next sure wife Republican executive office.
144,116,2025-03-08,Switched to Potion Crafting,No,Be risk part pretty finish four entire road court left national.
145,106,2025-03-08,Better Offer from SpellCo,No,Value take member safe friend his big short get by Republican practice tough audience realize approach.
146,586,2023-06-29,Switched to Potion Crafting,No,
147,425,2023-10-06,Lack of Growth Opportunities,No,
148,912,2023-10-10,Relocated to Forbidden Forest,Yes,Spend important the special agreement each player service power social yard.
149,712,2023-08-25,Conflict with Team,Maybe,Allow Congress gas cost meet me true probably level page onto guess there bit.
150,441,2025-02-21,Conflict with Team,No,Drive show lose before nice success property responsibility technology cover medical recent society.
