certification_id,employee_id,cert_name,cert_level,issue_date,expiry_date,status
51,21,Potion Brewing Basics,Beginner,2016-12-18,2017-12-18,Valid
52,21,Dark Magic Identification,Intermediate,2015-06-05,2020-06-05,Revoked
53,21,Defensive Charms,Master,2018-03-23,2019-03-23,Revoked
54,21,Advanced Spell Theory,Beginner,2021-06-30,2025-06-30,Expired
55,22,Defensive Charms,Intermediate,2023-07-01,2027-07-01,Revoked
56,22,Teleportation Accuracy,Beginner,2019-02-16,2023-02-16,Revoked
57,23,Herbology Essentials,Beginner,2023-12-01,2027-12-01,Revoked
58,23,Advanced Spell Theory,Beginner,2025-02-19,2030-02-19,Revoked
59,24,Wand Safety 101,Beginner,2019-04-13,2020-04-13,Valid
60,24,Muggle Interaction Training,Beginner,2024-07-31,2028-07-31,Revoked
61,24,Defensive Charms,Beginner,2023-07-09,2027-07-09,Valid
62,24,Advanced Spell Theory,Intermediate,2020-11-25,2022-11-25,Revoked
63,25,Herbology Essentials,Beginner,2018-07-21,2019-07-21,Expired
64,25,Dark Magic Identification,Master,2017-02-24,2019-02-24,Valid
65,25,Wand Safety 101,Intermediate,2022-06-10,2027-06-10,Valid
66,25,Defensive Charms,Intermediate,2018-10-10,2019-10-10,Revoked
67,26,Herbology Essentials,Intermediate,2021-04-19,2025-04-19,Expired
68,26,Dark Magic Identification,Beginner,2017-04-07,2018-04-07,Expired
69,27,Advanced Spell Theory,Intermediate,2018-11-10,2022-11-10,Expired
70,27,Defensive Charms,Intermediate,2022-02-03,2024-02-03,Valid
71,27,Advanced Spell Theory,Intermediate,2024-01-02,2025-01-02,Expired
72,28,Defensive Charms,Master,2019-08-27,2020-08-27,Expired
73,28,Potion Brewing Basics,Beginner,2020-03-13,2025-03-13,Expired
74,29,Defensive Charms,Master,2024-12-04,2027-12-04,Revoked
75,29,Magical Ethics,Master,2021-04-16,2026-04-16,Expired
76,29,Teleportation Accuracy,Beginner,2022-03-23,2025-03-23,Revoked
77,30,Advanced Spell Theory,Master,2016-04-04,2017-04-04,Expired
78,30,Muggle Interaction Training,Intermediate,2020-04-17,2022-04-17,Expired
79,30,Defensive Charms,Master,2024-11-06,2026-11-06,Valid
80,30,Wand Safety 101,Beginner,2024-04-24,2029-04-24,Revoked
81,31,Potion Brewing Basics,Beginner,2019-06-06,2021-06-06,Expired
82,31,Teleportation Accuracy,Intermediate,2021-01-16,2022-01-16,Valid
83,31,Defensive Charms,Master,2023-09-09,2024-09-09,Valid
84,31,Dark Magic Identification,Master,2020-09-03,2021-09-03,Expired
85,32,Wand Safety 101,Beginner,2022-11-07,2026-11-07,Expired
86,32,Wand Safety 101,Beginner,2023-04-17,2024-04-17,Expired
87,33,Potion Brewing Basics,Master,2017-04-22,2022-04-22,Revoked
88,33,Advanced Spell Theory,Master,2017-06-11,2018-06-11,Revoked
89,34,Herbology Essentials,Master,2020-02-07,2021-02-07,Expired
90,34,Potion Brewing Basics,Beginner,2023-05-30,2026-05-30,Expired
91,35,Wand Safety 101,Beginner,2021-01-01,2023-01-01,Revoked
92,36,Advanced Spell Theory,Beginner,2022-04-21,2027-04-21,Revoked
93,36,Advanced Spell Theory,Intermediate,2020-12-04,2024-12-04,Valid
94,36,Wand Safety 101,Master,2015-11-21,2018-11-21,Expired
95,36,Advanced Spell Theory,Master,2023-07-05,2024-07-05,Revoked
96,37,Wand Safety 101,Beginner,2021-04-01,2022-04-01,Revoked
97,37,Potion Brewing Basics,Intermediate,2022-10-23,2024-10-23,Valid
98,37,Potion Brewing Basics,Beginner,2018-03-22,2019-03-22,Revoked
99,37,Advanced Spell Theory,Beginner,2020-05-27,2025-05-27,Revoked
100,38,Potion Brewing Basics,Beginner,2021-06-28,2025-06-28,Revoked
101,39,Wand Safety 101,Master,2016-05-09,2021-05-09,Expired
102,39,Dark Magic Identification,Master,2018-12-19,2019-12-19,Valid
103,39,Potion Brewing Basics,Beginner,2016-04-25,2017-04-25,Expired
104,40,Herbology Essentials,Master,2020-11-28,2025-11-28,Valid
105,40,Herbology Essentials,Master,2017-11-13,2021-11-13,Expired
106,41,Muggle Interaction Training,Beginner,2018-09-17,2021-09-17,Valid
107,41,Dark Magic Identification,Intermediate,2018-02-22,2020-02-22,Valid
108,42,Muggle Interaction Training,Master,2019-01-21,2024-01-21,Expired
109,42,Dark Magic Identification,Intermediate,2024-04-04,2027-04-04,Expired
110,42,Teleportation Accuracy,Beginner,2025-01-08,2030-01-08,Valid
111,42,Teleportation Accuracy,Master,2025-01-07,2030-01-07,Valid
112,43,Wand Safety 101,Intermediate,2023-08-13,2025-08-13,Revoked
113,43,Defensive Charms,Master,2020-08-04,2023-08-04,Revoked
114,43,Defensive Charms,Beginner,2015-12-31,2019-12-31,Valid
115,44,Teleportation Accuracy,Intermediate,2023-05-30,2028-05-30,Valid
116,44,Advanced Spell Theory,Intermediate,2015-11-24,2019-11-24,Valid
117,44,Herbology Essentials,Master,2021-03-12,2026-03-12,Expired
118,45,Dark Magic Identification,Intermediate,2024-08-13,2029-08-13,Expired
119,45,Herbology Essentials,Beginner,2022-03-20,2026-03-20,Expired
120,45,Herbology Essentials,Master,2017-03-11,2018-03-11,Revoked
121,46,Herbology Essentials,Master,2024-04-02,2026-04-02,Expired
122,47,Wand Safety 101,Beginner,2018-06-16,2023-06-16,Expired
123,48,Teleportation Accuracy,Master,2017-04-22,2021-04-22,Expired
124,48,Magical Ethics,Beginner,2021-04-02,2024-04-02,Revoked
125,48,Wand Safety 101,Intermediate,2017-01-14,2019-01-14,Expired
126,49,Herbology Essentials,Intermediate,2021-06-19,2024-06-19,Revoked
127,49,Herbology Essentials,Intermediate,2025-02-23,2030-02-23,Valid
128,49,Teleportation Accuracy,Beginner,2022-12-04,2027-12-04,Valid
129,50,Wand Safety 101,Master,2021-03-05,2026-03-05,Revoked
130,50,Muggle Interaction Training,Master,2024-07-11,2025-07-11,Valid
131,50,Defensive Charms,Master,2017-09-03,2019-09-03,Valid
132,51,Magical Ethics,Master,2016-10-14,2019-10-14,Valid
133,51,Muggle Interaction Training,Beginner,2020-03-05,2024-03-05,Revoked
134,51,Herbology Essentials,Beginner,2024-10-29,2025-10-29,Expired
135,51,Dark Magic Identification,Master,2021-07-16,2023-07-16,Valid
136,52,Muggle Interaction Training,Intermediate,2018-05-17,2021-05-17,Revoked
137,52,Defensive Charms,Intermediate,2021-04-24,2022-04-24,Expired
138,52,Dark Magic Identification,Beginner,2020-04-23,2021-04-23,Valid
139,52,Defensive Charms,Beginner,2021-08-03,2023-08-03,Valid
140,53,Muggle Interaction Training,Master,2018-12-01,2021-12-01,Valid
141,53,Herbology Essentials,Intermediate,2018-07-20,2019-07-20,Revoked
142,53,Advanced Spell Theory,Intermediate,2024-11-26,2027-11-26,Revoked
143,54,Potion Brewing Basics,Intermediate,2016-09-01,2018-09-01,Revoked
144,54,Herbology Essentials,Intermediate,2023-09-22,2026-09-22,Revoked
145,54,Magical Ethics,Master,2018-09-06,2019-09-06,Valid
146,54,Wand Safety 101,Master,2019-04-11,2020-04-11,Valid
147,55,Defensive Charms,Intermediate,2018-08-27,2023-08-27,Valid
148,56,Wand Safety 101,Master,2020-11-07,2021-11-07,Revoked
149,56,Wand Safety 101,Beginner,2019-02-18,2023-02-18,Valid
150,56,Wand Safety 101,Master,2018-04-30,2022-04-30,Valid
151,56,Teleportation Accuracy,Intermediate,2023-03-08,2026-03-08,Expired
152,57,Magical Ethics,Master,2017-01-01,2020-01-01,Revoked
153,58,Magical Ethics,Master,2020-05-15,2022-05-15,Valid
154,58,Dark Magic Identification,Master,2024-04-20,2026-04-20,Revoked
155,58,Defensive Charms,Beginner,2021-11-26,2026-11-26,Valid
156,59,Advanced Spell Theory,Intermediate,2017-12-02,2019-12-02,Expired
157,60,Dark Magic Identification,Beginner,2019-10-28,2021-10-28,Valid
158,60,Teleportation Accuracy,Master,2021-10-17,2026-10-17,Expired
159,60,Advanced Spell Theory,Beginner,2020-08-01,2021-08-01,Revoked
160,61,Muggle Interaction Training,Intermediate,2018-05-15,2020-05-15,Expired
161,61,Dark Magic Identification,Intermediate,2024-01-03,2026-01-03,Revoked
162,61,Potion Brewing Basics,Intermediate,2021-11-17,2024-11-17,Valid
163,61,Potion Brewing Basics,Beginner,2017-05-28,2022-05-28,Expired
164,62,Herbology Essentials,Master,2018-10-24,2019-10-24,Expired
165,62,Magical Ethics,Beginner,2017-12-04,2021-12-04,Expired
166,62,Magical Ethics,Intermediate,2023-01-18,2027-01-18,Revoked
167,62,Magical Ethics,Intermediate,2017-11-14,2021-11-14,Expired
168,63,Muggle Interaction Training,Beginner,2018-11-18,2023-11-18,Valid
169,63,Advanced Spell Theory,Intermediate,2020-05-25,2021-05-25,Valid
170,64,Magical Ethics,Intermediate,2020-10-07,2025-10-07,Expired
171,65,Wand Safety 101,Master,2019-05-13,2021-05-13,Expired
172,65,Advanced Spell Theory,Master,2017-07-28,2018-07-28,Expired
173,66,Defensive Charms,Master,2016-11-04,2021-11-04,Valid
174,66,Teleportation Accuracy,Beginner,2020-01-27,2024-01-27,Valid
175,66,Muggle Interaction Training,Beginner,2024-06-10,2028-06-10,Revoked
176,66,Dark Magic Identification,Intermediate,2022-07-31,2027-07-31,Valid
177,67,Magical Ethics,Master,2017-04-27,2021-04-27,Expired
178,68,Defensive Charms,Master,2024-07-12,2029-07-12,Valid
179,68,Defensive Charms,Beginner,2020-09-10,2022-09-10,Expired
180,69,Muggle Interaction Training,Intermediate,2015-04-28,2017-04-28,Revoked
181,70,Dark Magic Identification,Beginner,2019-07-11,2020-07-11,Valid
182,70,Advanced Spell Theory,Beginner,2020-06-07,2023-06-07,Valid
183,71,Defensive Charms,Intermediate,2022-08-06,2027-08-06,Revoked
184,72,Dark Magic Identification,Beginner,2016-02-05,2019-02-05,Revoked
185,72,Dark Magic Identification,Intermediate,2017-07-15,2018-07-15,Expired
186,72,Dark Magic Identification,Master,2019-02-15,2020-02-15,Revoked
187,72,Wand Safety 101,Master,2021-08-16,2025-08-16,Expired
188,73,Defensive Charms,Beginner,2017-02-06,2022-02-06,Valid
189,73,Dark Magic Identification,Master,2022-10-05,2024-10-05,Expired
190,74,Defensive Charms,Intermediate,2017-05-23,2018-05-23,Valid
191,74,Teleportation Accuracy,Beginner,2016-04-28,2019-04-28,Expired
192,75,Dark Magic Identification,Master,2015-11-14,2017-11-14,Expired
193,75,Muggle Interaction Training,Intermediate,2024-02-16,2029-02-16,Valid
194,75,Advanced Spell Theory,Intermediate,2018-08-10,2019-08-10,Expired
195,75,Defensive Charms,Beginner,2022-02-03,2023-02-03,Revoked
196,76,Dark Magic Identification,Intermediate,2024-10-30,2027-10-30,Expired
197,76,Muggle Interaction Training,Beginner,2017-03-01,2018-03-01,Revoked
198,76,Dark Magic Identification,Intermediate,2019-08-17,2024-08-17,Expired
199,76,Wand Safety 101,Intermediate,2020-06-15,2021-06-15,Valid
200,77,Muggle Interaction Training,Beginner,2019-06-09,2021-06-09,Valid
201,77,Advanced Spell Theory,Intermediate,2024-04-20,2028-04-20,Valid
202,77,Advanced Spell Theory,Beginner,2022-12-07,2026-12-07,Valid
203,78,Wand Safety 101,Beginner,2020-05-08,2024-05-08,Valid
204,78,Teleportation Accuracy,Intermediate,2018-11-17,2023-11-17,Expired
205,78,Teleportation Accuracy,Beginner,2019-11-04,2021-11-04,Valid
206,78,Potion Brewing Basics,Intermediate,2019-12-05,2020-12-05,Revoked
207,79,Magical Ethics,Intermediate,2021-05-29,2026-05-29,Expired
208,80,Teleportation Accuracy,Beginner,2020-12-01,2025-12-01,Valid
209,80,Advanced Spell Theory,Master,2024-10-22,2029-10-22,Valid
210,80,Dark Magic Identification,Master,2022-10-21,2026-10-21,Expired
211,80,Dark Magic Identification,Master,2017-10-23,2022-10-23,Expired
212,81,Dark Magic Identification,Master,2019-12-09,2023-12-09,Revoked
213,82,Herbology Essentials,Intermediate,2024-05-24,2026-05-24,Revoked
214,83,Defensive Charms,Master,2018-09-09,2022-09-09,Expired
215,84,Magical Ethics,Master,2020-09-07,2025-09-07,Revoked
216,84,Herbology Essentials,Master,2016-01-07,2017-01-07,Expired
217,85,Herbology Essentials,Master,2016-08-07,2020-08-07,Revoked
218,85,Herbology Essentials,Beginner,2015-04-29,2017-04-29,Revoked
219,86,Muggle Interaction Training,Beginner,2022-10-13,2027-10-13,Expired
220,87,Defensive Charms,Master,2023-10-01,2025-10-01,Revoked
221,87,Teleportation Accuracy,Master,2017-10-19,2022-10-19,Valid
222,87,Teleportation Accuracy,Intermediate,2018-02-23,2021-02-23,Expired
223,87,Muggle Interaction Training,Intermediate,2021-01-16,2022-01-16,Revoked
224,88,Herbology Essentials,Beginner,2024-01-14,2028-01-14,Revoked
225,88,Dark Magic Identification,Intermediate,2018-12-16,2021-12-16,Revoked
226,88,Wand Safety 101,Master,2018-10-06,2023-10-06,Revoked
227,88,Muggle Interaction Training,Beginner,2019-10-26,2021-10-26,Revoked
228,89,Defensive Charms,Beginner,2018-10-14,2022-10-14,Expired
229,89,Defensive Charms,Beginner,2017-08-01,2022-08-01,Revoked
230,90,Teleportation Accuracy,Beginner,2023-06-09,2026-06-09,Expired
231,91,Defensive Charms,Beginner,2019-07-28,2020-07-28,Revoked
232,91,Herbology Essentials,Intermediate,2024-10-13,2029-10-13,Expired
233,91,Dark Magic Identification,Beginner,2020-02-21,2021-02-21,Valid
234,92,Defensive Charms,Intermediate,2021-03-15,2026-03-15,Valid
235,92,Dark Magic Identification,Intermediate,2021-10-31,2024-10-31,Revoked
236,92,Magical Ethics,Master,2017-03-02,2022-03-02,Expired
237,92,Wand Safety 101,Master,2024-04-28,2029-04-28,Expired
238,93,Muggle Interaction Training,Master,2016-11-04,2021-11-04,Revoked
239,93,Herbology Essentials,Master,2021-04-12,2022-04-12,Expired
240,93,Teleportation Accuracy,Beginner,2017-09-26,2018-09-26,Revoked
241,94,Muggle Interaction Training,Master,2016-05-15,2018-05-15,Expired
242,94,Muggle Interaction Training,Intermediate,2015-07-01,2020-07-01,Valid
243,94,Advanced Spell Theory,Intermediate,2021-02-01,2026-02-01,Revoked
244,95,Advanced Spell Theory,Intermediate,2015-06-24,2017-06-24,Revoked
245,95,Advanced Spell Theory,Intermediate,2023-10-15,2026-10-15,Expired
246,95,Magical Ethics,Beginner,2022-08-24,2027-08-24,Valid
247,96,Wand Safety 101,Intermediate,2015-08-14,2016-08-14,Revoked
248,96,Advanced Spell Theory,Intermediate,2015-06-18,2019-06-18,Revoked
249,96,Dark Magic Identification,Intermediate,2021-11-30,2022-11-30,Revoked
250,96,Wand Safety 101,Intermediate,2015-10-12,2020-10-12,Expired
251,97,Teleportation Accuracy,Intermediate,2019-11-26,2022-11-26,Revoked
252,97,Dark Magic Identification,Beginner,2024-04-03,2028-04-03,Expired
253,97,Advanced Spell Theory,Master,2022-02-03,2023-02-03,Revoked
254,98,Dark Magic Identification,Intermediate,2019-02-12,2023-02-12,Revoked
255,98,Herbology Essentials,Beginner,2017-04-05,2022-04-05,Valid
256,99,Teleportation Accuracy,Intermediate,2023-04-29,2027-04-29,Expired
257,99,Teleportation Accuracy,Intermediate,2016-08-06,2020-08-06,Valid
258,99,Herbology Essentials,Master,2017-03-10,2018-03-10,Revoked
259,100,Magical Ethics,Intermediate,2020-04-03,2024-04-03,Expired
260,100,Magical Ethics,Master,2022-07-19,2025-07-19,Revoked
261,100,Wand Safety 101,Intermediate,2016-11-19,2018-11-19,Valid
262,100,Dark Magic Identification,Master,2018-04-18,2020-04-18,Expired
263,101,Herbology Essentials,Intermediate,2018-11-28,2019-11-28,Valid
264,101,Advanced Spell Theory,Intermediate,2021-02-18,2025-02-18,Valid
265,101,Wand Safety 101,Master,2023-05-19,2027-05-19,Valid
266,102,Wand Safety 101,Master,2019-07-21,2022-07-21,Valid
267,102,Magical Ethics,Beginner,2015-12-13,2019-12-13,Valid
268,102,Herbology Essentials,Intermediate,2016-02-14,2019-02-14,Revoked
269,103,Advanced Spell Theory,Intermediate,2016-08-29,2021-08-29,Expired
270,103,Defensive Charms,Intermediate,2016-09-18,2021-09-18,Revoked
271,103,Wand Safety 101,Beginner,2015-07-27,2019-07-27,Valid
272,103,Defensive Charms,Beginner,2020-10-23,2023-10-23,Valid
273,104,Teleportation Accuracy,Master,2018-01-06,2020-01-06,Expired
274,105,Potion Brewing Basics,Beginner,2017-12-30,2019-12-30,Revoked
275,105,Potion Brewing Basics,Beginner,2023-12-22,2025-12-22,Expired
276,105,Dark Magic Identification,Beginner,2025-02-18,2027-02-18,Revoked
277,105,Magical Ethics,Beginner,2024-11-23,2028-11-23,Valid
278,106,Muggle Interaction Training,Intermediate,2018-09-13,2019-09-13,Valid
279,106,Defensive Charms,Intermediate,2016-04-27,2021-04-27,Valid
280,106,Dark Magic Identification,Master,2022-12-19,2024-12-19,Valid
281,107,Herbology Essentials,Intermediate,2021-09-10,2024-09-10,Expired
282,107,Potion Brewing Basics,Intermediate,2023-03-02,2028-03-02,Expired
283,108,Teleportation Accuracy,Master,2023-03-30,2028-03-30,Expired
284,108,Teleportation Accuracy,Beginner,2023-11-05,2025-11-05,Expired
285,109,Herbology Essentials,Master,2024-08-07,2029-08-07,Valid
286,109,Advanced Spell Theory,Master,2020-12-12,2024-12-12,Expired
287,109,Potion Brewing Basics,Intermediate,2016-06-10,2017-06-10,Expired
288,110,Defensive Charms,Master,2015-06-03,2016-06-03,Expired
289,110,Advanced Spell Theory,Master,2018-09-16,2021-09-16,Expired
290,110,Potion Brewing Basics,Intermediate,2019-12-03,2020-12-03,Revoked
291,110,Herbology Essentials,Intermediate,2018-04-20,2020-04-20,Revoked
292,111,Herbology Essentials,Intermediate,2020-12-19,2025-12-19,Revoked
293,111,Teleportation Accuracy,Intermediate,2015-08-30,2018-08-30,Valid
294,111,Advanced Spell Theory,Intermediate,2019-04-02,2020-04-02,Expired
295,112,Advanced Spell Theory,Beginner,2016-06-25,2019-06-25,Expired
296,113,Defensive Charms,Intermediate,2016-03-23,2018-03-23,Revoked
297,113,Magical Ethics,Master,2015-12-27,2019-12-27,Valid
298,114,Magical Ethics,Beginner,2020-10-18,2023-10-18,Valid
299,114,Herbology Essentials,Intermediate,2018-06-20,2019-06-20,Valid
300,114,Teleportation Accuracy,Intermediate,2016-12-21,2020-12-21,Expired
301,114,Herbology Essentials,Beginner,2024-09-18,2026-09-18,Valid
302,115,Muggle Interaction Training,Master,2024-08-20,2027-08-20,Valid
303,115,Wand Safety 101,Master,2021-11-18,2024-11-18,Revoked
304,115,Potion Brewing Basics,Master,2021-12-15,2023-12-15,Valid
305,115,Magical Ethics,Intermediate,2017-04-08,2019-04-08,Expired
306,116,Magical Ethics,Beginner,2015-06-03,2020-06-03,Expired
307,116,Potion Brewing Basics,Intermediate,2018-06-25,2019-06-25,Valid
308,116,Muggle Interaction Training,Intermediate,2022-06-12,2027-06-12,Valid
309,117,Wand Safety 101,Beginner,2021-02-18,2023-02-18,Revoked
310,117,Defensive Charms,Master,2021-04-09,2023-04-09,Revoked
311,117,Advanced Spell Theory,Intermediate,2023-12-01,2026-12-01,Revoked
312,117,Wand Safety 101,Master,2016-06-04,2021-06-04,Revoked
313,118,Magical Ethics,Master,2020-01-27,2024-01-27,Expired
314,118,Magical Ethics,Master,2025-03-25,2029-03-25,Valid
315,118,Muggle Interaction Training,Intermediate,2022-04-18,2025-04-18,Expired
316,119,Herbology Essentials,Master,2019-11-18,2024-11-18,Revoked
317,120,Advanced Spell Theory,Beginner,2023-01-23,2027-01-23,Revoked
318,121,Magical Ethics,Beginner,2019-08-15,2022-08-15,Revoked
319,121,Potion Brewing Basics,Master,2019-12-07,2021-12-07,Valid
320,121,Wand Safety 101,Master,2021-07-31,2024-07-31,Revoked
321,122,Advanced Spell Theory,Intermediate,2024-06-02,2026-06-02,Revoked
322,122,Teleportation Accuracy,Beginner,2018-11-29,2022-11-29,Revoked
323,122,Teleportation Accuracy,Master,2023-11-06,2024-11-06,Expired
324,123,Wand Safety 101,Beginner,2020-04-06,2023-04-06,Revoked
325,123,Magical Ethics,Beginner,2021-01-11,2023-01-11,Revoked
326,123,Wand Safety 101,Intermediate,2024-01-05,2027-01-05,Expired
327,124,Advanced Spell Theory,Intermediate,2019-03-27,2024-03-27,Valid
328,125,Defensive Charms,Master,2021-03-07,2026-03-07,Expired
329,126,Wand Safety 101,Beginner,2021-11-30,2024-11-30,Valid
330,127,Muggle Interaction Training,Beginner,2020-12-09,2022-12-09,Revoked
331,127,Teleportation Accuracy,Master,2023-04-27,2027-04-27,Valid
332,127,Herbology Essentials,Beginner,2020-10-16,2022-10-16,Expired
333,128,Potion Brewing Basics,Beginner,2024-07-20,2026-07-20,Revoked
334,128,Wand Safety 101,Master,2020-08-09,2024-08-09,Revoked
335,128,Potion Brewing Basics,Beginner,2023-05-14,2025-05-14,Expired
336,128,Defensive Charms,Master,2020-02-02,2022-02-02,Expired
337,129,Dark Magic Identification,Master,2019-05-15,2020-05-15,Revoked
338,129,Potion Brewing Basics,Master,2016-09-28,2019-09-28,Revoked
339,130,Magical Ethics,Intermediate,2022-10-02,2024-10-02,Valid
340,131,Defensive Charms,Intermediate,2024-01-28,2028-01-28,Valid
341,132,Potion Brewing Basics,Intermediate,2021-05-19,2025-05-19,Revoked
342,133,Dark Magic Identification,Master,2022-07-29,2026-07-29,Valid
343,134,Advanced Spell Theory,Intermediate,2022-01-15,2025-01-15,Expired
344,134,Advanced Spell Theory,Beginner,2024-09-03,2029-09-03,Expired
345,134,Potion Brewing Basics,Master,2020-01-17,2022-01-17,Valid
346,134,Teleportation Accuracy,Beginner,2017-08-29,2019-08-29,Revoked
347,135,Magical Ethics,Intermediate,2025-01-25,2028-01-25,Expired
348,135,Dark Magic Identification,Master,2017-11-10,2021-11-10,Valid
349,135,Teleportation Accuracy,Master,2019-12-23,2023-12-23,Expired
350,135,Potion Brewing Basics,Master,2021-02-02,2026-02-02,Revoked
351,136,Dark Magic Identification,Intermediate,2017-01-24,2022-01-24,Revoked
352,136,Dark Magic Identification,Intermediate,2023-08-20,2028-08-20,Expired
353,136,Advanced Spell Theory,Master,2018-05-27,2022-05-27,Valid
354,136,Wand Safety 101,Intermediate,2019-10-24,2021-10-24,Revoked
355,137,Herbology Essentials,Master,2016-01-25,2017-01-25,Valid
356,137,Dark Magic Identification,Master,2023-05-24,2024-05-24,Valid
357,138,Defensive Charms,Intermediate,2024-01-02,2025-01-02,Expired
358,138,Teleportation Accuracy,Intermediate,2024-11-24,2029-11-24,Expired
359,139,Wand Safety 101,Master,2019-05-17,2020-05-17,Expired
360,139,Dark Magic Identification,Beginner,2022-02-12,2024-02-12,Valid
361,139,Magical Ethics,Intermediate,2019-09-12,2020-09-12,Revoked
362,139,Advanced Spell Theory,Intermediate,2021-01-26,2022-01-26,Valid
363,140,Herbology Essentials,Intermediate,2019-06-12,2022-06-12,Revoked
364,140,Potion Brewing Basics,Intermediate,2022-10-29,2026-10-29,Valid
365,141,Advanced Spell Theory,Beginner,2016-06-13,2017-06-13,Valid
366,142,Teleportation Accuracy,Intermediate,2024-01-12,2027-01-12,Valid
367,143,Defensive Charms,Master,2023-08-22,2025-08-22,Expired
368,143,Teleportation Accuracy,Beginner,2019-06-12,2020-06-12,Expired
369,144,Wand Safety 101,Master,2021-02-05,2024-02-05,Revoked
370,144,Muggle Interaction Training,Master,2019-04-10,2021-04-10,Revoked
371,144,Teleportation Accuracy,Beginner,2024-10-05,2025-10-05,Revoked
372,144,Teleportation Accuracy,Master,2021-08-31,2026-08-31,Expired
373,145,Teleportation Accuracy,Beginner,2022-06-20,2025-06-20,Revoked
374,145,Advanced Spell Theory,Intermediate,2023-04-16,2026-04-16,Expired
375,146,Defensive Charms,Beginner,2019-06-23,2024-06-23,Valid
376,146,Magical Ethics,Beginner,2017-09-22,2021-09-22,Revoked
377,146,Muggle Interaction Training,Intermediate,2022-01-31,2025-01-31,Valid
378,147,Magical Ethics,Master,2017-09-07,2018-09-07,Expired
379,148,Muggle Interaction Training,Master,2024-09-08,2027-09-08,Valid
