survey_id,employee_id,survey_date,overall_satisfaction,job_spell_alignment,magical_involvement,team_relationships,management_trust_level,comment
101,101,2025-03-15,Neutral,Neutral,Engaged,Friendly,Magically Bonded,
102,102,2024-04-27,Very Dissatisfied,Dissatisfied,Neutral,Hostile,Hostile,Also generation argue kitchen act popular beyond best last investment exactly least.
103,103,2024-05-31,Very Dissatisfied,Neutral,Engaged,Magically Bonded,Friendly,
104,104,2025-01-12,Neutral,Very Dissatisfied,Neutral,Magically Bonded,Magically Bonded,
105,105,2024-06-07,Neutral,Very Satisfied,Disengaged,Neutral,Neutral,
106,106,2025-01-26,Neutral,Dissatisfied,Engaged,Friendly,Neutral,
107,107,2024-04-11,Dissatisfied,Dissatisfied,Disengaged,Neutral,Neutral,
108,108,2024-12-10,Dissatisfied,Very Dissatisfied,Highly Engaged,Neutral,Neutral,
109,109,2024-08-15,Very Satisfied,Satisfied,Engaged,Cold,Magically Bonded,Box can design law region either toward heart capital fight.
110,110,2024-09-27,Satisfied,Neutral,Disengaged,Magically Bonded,Friendly,Consumer environment send sign weight raise play student mention attention different.
111,111,2024-04-15,Dissatisfied,Satisfied,Engaged,Friendly,Cold,
112,112,2025-02-09,Satisfied,Very Dissatisfied,Highly Engaged,Magically Bonded,Magically Bonded,
113,113,2025-01-14,Very Dissatisfied,Very Satisfied,Neutral,Neutral,Cold,Senior involve ground president memory speech cold rule turn she work those.
114,114,2025-01-30,Very Satisfied,Dissatisfied,Disengaged,Cold,Neutral,
115,115,2024-04-15,Very Dissatisfied,Neutral,Neutral,Cold,Neutral,
116,116,2024-10-05,Satisfied,Dissatisfied,Engaged,Neutral,Magically Bonded,
117,117,2024-07-06,Dissatisfied,Dissatisfied,Disengaged,Cold,Neutral,
118,118,2024-05-23,Dissatisfied,Dissatisfied,Somewhat Engaged,Magically Bonded,Magically Bonded,
119,119,2024-07-01,Neutral,Very Satisfied,Disengaged,Hostile,Friendly,
120,120,2024-10-30,Very Satisfied,Very Dissatisfied,Highly Engaged,Friendly,Magically Bonded,
121,121,2025-01-09,Satisfied,Dissatisfied,Disengaged,Cold,Hostile,
122,122,2024-06-18,Satisfied,Very Satisfied,Disengaged,Hostile,Neutral,
123,123,2024-10-14,Very Dissatisfied,Satisfied,Disengaged,Friendly,Magically Bonded,Three someone century hair cultural front even.
124,124,2024-08-12,Satisfied,Satisfied,Engaged,Cold,Cold,
125,125,2024-04-11,Very Satisfied,Neutral,Disengaged,Hostile,Hostile,
126,126,2024-07-14,Neutral,Dissatisfied,Disengaged,Cold,Hostile,
127,127,2024-09-17,Satisfied,Very Satisfied,Somewhat Engaged,Cold,Hostile,Hair only wait learn decade according behavior window increase.
128,128,2024-10-19,Very Satisfied,Very Satisfied,Neutral,Friendly,Magically Bonded,
129,129,2025-01-17,Neutral,Dissatisfied,Disengaged,Magically Bonded,Neutral,Tell under oil language so probably science best second push movie condition large nor mother.
130,130,2024-09-22,Dissatisfied,Neutral,Somewhat Engaged,Magically Bonded,Neutral,
131,131,2024-04-11,Satisfied,Very Dissatisfied,Highly Engaged,Hostile,Hostile,
132,132,2024-04-18,Very Satisfied,Very Dissatisfied,Highly Engaged,Hostile,Neutral,
133,133,2024-10-26,Neutral,Very Satisfied,Engaged,Magically Bonded,Cold,Edge southern large country threat southern try security lose.
134,134,2024-08-01,Very Dissatisfied,Satisfied,Somewhat Engaged,Hostile,Cold,Thank particular sport the per figure pass concern responsibility wear effort test build last increase entire.
135,135,2025-03-19,Neutral,Dissatisfied,Highly Engaged,Hostile,Friendly,Visit check per admit whom shake town base military situation none notice step.
136,136,2025-01-12,Very Dissatisfied,Dissatisfied,Disengaged,Neutral,Cold,
137,137,2025-03-23,Very Satisfied,Dissatisfied,Neutral,Friendly,Hostile,Risk student expert east card sea figure former.
138,138,2024-10-08,Neutral,Dissatisfied,Engaged,Magically Bonded,Neutral,
139,139,2024-07-04,Dissatisfied,Neutral,Highly Engaged,Cold,Magically Bonded,
140,140,2024-08-23,Very Satisfied,Neutral,Engaged,Friendly,Neutral,Line world cause film continue trade evidence know others west notice onto smile.
141,141,2024-07-19,Very Satisfied,Neutral,Somewhat Engaged,Cold,Hostile,Score other time test conference apply weight shake ok.
142,142,2024-09-11,Very Satisfied,Very Satisfied,Disengaged,Neutral,Cold,
143,143,2024-11-04,Satisfied,Neutral,Highly Engaged,Neutral,Friendly,Card main next east single respond economic hundred.
144,144,2024-12-27,Neutral,Dissatisfied,Highly Engaged,Hostile,Hostile,
145,145,2024-11-07,Neutral,Dissatisfied,Disengaged,Friendly,Hostile,
146,146,2024-08-28,Very Dissatisfied,Neutral,Highly Engaged,Hostile,Neutral,
147,147,2024-11-02,Very Satisfied,Very Satisfied,Highly Engaged,Friendly,Neutral,
148,148,2024-06-20,Very Dissatisfied,Dissatisfied,Disengaged,Magically Bonded,Hostile,
149,149,2024-09-21,Satisfied,Neutral,Neutral,Cold,Neutral,
150,150,2024-09-09,Neutral,Satisfied,Disengaged,Magically Bonded,Hostile,
151,151,2025-03-21,Very Satisfied,Very Dissatisfied,Neutral,Hostile,Hostile,
152,152,2024-11-23,Very Dissatisfied,Neutral,Somewhat Engaged,Cold,Magically Bonded,
153,153,2024-11-08,Neutral,Satisfied,Highly Engaged,Neutral,Friendly,
154,154,2024-04-27,Very Satisfied,Very Dissatisfied,Engaged,Cold,Hostile,
155,155,2024-11-09,Very Dissatisfied,Very Satisfied,Somewhat Engaged,Hostile,Friendly,
156,156,2024-10-17,Satisfied,Satisfied,Highly Engaged,Cold,Cold,
157,157,2024-12-06,Very Satisfied,Satisfied,Disengaged,Neutral,Cold,
158,158,2024-12-11,Dissatisfied,Dissatisfied,Engaged,Hostile,Cold,
159,159,2025-03-30,Satisfied,Satisfied,Highly Engaged,Cold,Hostile,Tell scene owner art tend something several under security enough keep ten.
160,160,2024-06-11,Very Dissatisfied,Satisfied,Somewhat Engaged,Magically Bonded,Neutral,
161,161,2025-02-02,Dissatisfied,Very Dissatisfied,Somewhat Engaged,Friendly,Neutral,Author pay receive bit fast pick add.
162,162,2024-08-04,Dissatisfied,Satisfied,Engaged,Neutral,Neutral,
163,163,2024-12-01,Satisfied,Satisfied,Highly Engaged,Cold,Hostile,
164,164,2024-09-14,Satisfied,Dissatisfied,Disengaged,Magically Bonded,Magically Bonded,
165,165,2025-01-31,Neutral,Dissatisfied,Disengaged,Cold,Magically Bonded,
166,166,2024-05-03,Neutral,Neutral,Disengaged,Magically Bonded,Magically Bonded,Camera police much attorney officer officer television best reach work.
167,167,2024-11-28,Satisfied,Very Dissatisfied,Highly Engaged,Magically Bonded,Hostile,
168,168,2024-05-30,Neutral,Very Dissatisfied,Engaged,Neutral,Magically Bonded,Writer Republican build lose kid open peace wish my between north moment decision side.
169,169,2024-12-23,Dissatisfied,Dissatisfied,Highly Engaged,Neutral,Magically Bonded,
170,170,2024-06-11,Very Satisfied,Satisfied,Highly Engaged,Hostile,Neutral,
171,171,2024-06-22,Satisfied,Very Dissatisfied,Engaged,Neutral,Neutral,
172,172,2024-10-28,Satisfied,Dissatisfied,Engaged,Neutral,Neutral,
173,173,2024-12-08,Neutral,Dissatisfied,Highly Engaged,Cold,Hostile,
174,174,2025-02-22,Very Satisfied,Very Satisfied,Disengaged,Friendly,Magically Bonded,
175,175,2024-10-03,Dissatisfied,Very Dissatisfied,Somewhat Engaged,Friendly,Friendly,
176,176,2024-06-22,Dissatisfied,Dissatisfied,Disengaged,Hostile,Cold,
177,177,2024-11-01,Satisfied,Very Satisfied,Disengaged,Friendly,Friendly,
178,178,2024-08-31,Satisfied,Very Dissatisfied,Engaged,Friendly,Cold,Style too challenge court drug stop week.
179,179,2024-10-08,Very Satisfied,Dissatisfied,Engaged,Neutral,Cold,
180,180,2025-03-17,Very Dissatisfied,Neutral,Somewhat Engaged,Hostile,Hostile,
181,181,2025-01-13,Satisfied,Neutral,Somewhat Engaged,Friendly,Neutral,
182,182,2024-06-01,Satisfied,Neutral,Neutral,Friendly,Magically Bonded,
183,183,2024-08-26,Very Satisfied,Very Satisfied,Disengaged,Magically Bonded,Neutral,
184,184,2024-08-08,Very Satisfied,Very Satisfied,Disengaged,Magically Bonded,Hostile,
185,185,2025-03-13,Satisfied,Very Dissatisfied,Neutral,Hostile,Hostile,
186,186,2024-11-07,Neutral,Satisfied,Highly Engaged,Cold,Neutral,
187,187,2025-01-26,Dissatisfied,Very Satisfied,Somewhat Engaged,Hostile,Neutral,Share over house law detail her little.
188,188,2024-06-13,Neutral,Neutral,Disengaged,Magically Bonded,Cold,
189,189,2024-11-24,Very Dissatisfied,Satisfied,Highly Engaged,Neutral,Neutral,
190,190,2024-08-15,Dissatisfied,Neutral,Engaged,Friendly,Hostile,
191,191,2024-09-24,Neutral,Satisfied,Neutral,Hostile,Hostile,Should again take today everything allow party upon good trade product its east long guy.
192,192,2024-05-04,Very Dissatisfied,Very Satisfied,Highly Engaged,Friendly,Friendly,
193,193,2025-02-11,Neutral,Dissatisfied,Somewhat Engaged,Neutral,Cold,
194,194,2024-10-28,Very Satisfied,Dissatisfied,Somewhat Engaged,Hostile,Cold,Sometimes fire newspaper hear pattern air morning game tend race their.
195,195,2024-07-08,Very Satisfied,Very Dissatisfied,Highly Engaged,Hostile,Hostile,Similar us cut culture mind personal data medical project after wife try.
196,196,2025-03-06,Very Satisfied,Dissatisfied,Engaged,Hostile,Hostile,
197,197,2024-10-04,Very Dissatisfied,Very Dissatisfied,Highly Engaged,Neutral,Hostile,Third save store how one son yes nothing tell.
198,198,2024-11-25,Neutral,Very Dissatisfied,Disengaged,Magically Bonded,Hostile,
199,199,2024-04-23,Very Dissatisfied,Neutral,Neutral,Hostile,Neutral,
200,200,2024-06-23,Very Satisfied,Dissatisfied,Engaged,Neutral,Cold,Be door sense drive agency man approach.
201,201,2024-11-25,Satisfied,Satisfied,Highly Engaged,Cold,Magically Bonded,
202,202,2024-09-25,Satisfied,Satisfied,Disengaged,Magically Bonded,Magically Bonded,
203,203,2024-11-05,Very Dissatisfied,Very Dissatisfied,Somewhat Engaged,Neutral,Hostile,Great stuff trip process him theory social traditional pick play most child small.
204,204,2024-12-03,Neutral,Very Dissatisfied,Disengaged,Cold,Friendly,Son real fly cup want idea particularly will think necessary art form.
205,205,2025-03-29,Neutral,Neutral,Neutral,Friendly,Magically Bonded,Especially break window short oil green million study specific rich born our last with military.
206,206,2024-06-14,Dissatisfied,Satisfied,Neutral,Cold,Cold,Really foot each pretty save through write action including why run agreement story.
207,207,2025-02-16,Very Dissatisfied,Neutral,Disengaged,Neutral,Hostile,
208,208,2024-10-28,Satisfied,Satisfied,Neutral,Magically Bonded,Magically Bonded,
209,209,2024-11-03,Very Dissatisfied,Satisfied,Neutral,Neutral,Neutral,
210,210,2024-04-21,Satisfied,Satisfied,Somewhat Engaged,Friendly,Neutral,
211,211,2024-09-18,Satisfied,Very Dissatisfied,Disengaged,Neutral,Hostile,
212,212,2025-02-11,Very Dissatisfied,Dissatisfied,Engaged,Hostile,Neutral,
213,213,2024-04-05,Very Dissatisfied,Very Dissatisfied,Neutral,Friendly,Hostile,
214,214,2024-11-10,Satisfied,Dissatisfied,Neutral,Hostile,Friendly,
215,215,2024-12-24,Very Satisfied,Satisfied,Disengaged,Friendly,Cold,
216,216,2024-04-12,Satisfied,Dissatisfied,Neutral,Cold,Friendly,Others most everyone keep yeah reduce financial great today behavior clearly.
217,217,2025-02-21,Neutral,Very Satisfied,Neutral,Magically Bonded,Neutral,
218,218,2024-10-11,Dissatisfied,Very Satisfied,Engaged,Neutral,Cold,
219,219,2024-08-28,Dissatisfied,Very Satisfied,Neutral,Neutral,Magically Bonded,Foreign middle entire door fill rise attention along will.
220,220,2024-09-03,Dissatisfied,Neutral,Neutral,Neutral,Neutral,
221,221,2024-12-01,Satisfied,Neutral,Somewhat Engaged,Magically Bonded,Friendly,Whole sometimes decide fast nice idea inside prevent past dinner participant it alone her very.
222,222,2024-07-30,Satisfied,Satisfied,Neutral,Neutral,Neutral,Become ahead human national increase indicate financial.
223,223,2024-06-03,Very Dissatisfied,Dissatisfied,Somewhat Engaged,Cold,Cold,
224,224,2024-08-28,Neutral,Satisfied,Engaged,Cold,Friendly,
225,225,2024-10-22,Very Satisfied,Neutral,Highly Engaged,Magically Bonded,Friendly,
226,226,2024-06-29,Neutral,Satisfied,Engaged,Friendly,Cold,
227,227,2024-12-19,Neutral,Very Satisfied,Engaged,Cold,Friendly,
228,228,2024-06-23,Dissatisfied,Dissatisfied,Highly Engaged,Magically Bonded,Cold,
229,229,2024-06-16,Very Satisfied,Dissatisfied,Highly Engaged,Magically Bonded,Hostile,Second environment charge hear new shake future suddenly recently particular present yourself amount green generation.
230,230,2024-09-14,Dissatisfied,Very Dissatisfied,Neutral,Hostile,Neutral,Education state make turn help market establish it visit defense.
231,231,2024-08-08,Dissatisfied,Very Satisfied,Disengaged,Cold,Friendly,
232,232,2024-09-07,Very Dissatisfied,Very Satisfied,Engaged,Friendly,Neutral,Behind whom pull recent structure nation culture eye adult hope third.
233,233,2024-06-29,Dissatisfied,Very Satisfied,Somewhat Engaged,Magically Bonded,Cold,
234,234,2024-11-29,Very Satisfied,Very Satisfied,Engaged,Friendly,Magically Bonded,
235,235,2024-08-15,Very Satisfied,Very Satisfied,Engaged,Magically Bonded,Magically Bonded,
236,236,2024-09-20,Neutral,Satisfied,Somewhat Engaged,Hostile,Magically Bonded,Different quickly provide relationship ahead near professional yard pay.
237,237,2025-02-05,Very Satisfied,Very Satisfied,Engaged,Hostile,Magically Bonded,Power group behavior force door story treatment professor ready current fact study get specific.
238,238,2025-03-16,Neutral,Neutral,Somewhat Engaged,Magically Bonded,Friendly,Any money require adult bar some including record must lay poor employee.
239,239,2025-02-01,Very Satisfied,Neutral,Highly Engaged,Magically Bonded,Magically Bonded,Table run meet out usually heart open.
240,240,2025-02-01,Very Satisfied,Neutral,Engaged,Neutral,Magically Bonded,
241,241,2024-05-20,Dissatisfied,Very Satisfied,Highly Engaged,Hostile,Friendly,
242,242,2024-11-15,Neutral,Very Satisfied,Engaged,Neutral,Neutral,
243,243,2024-05-08,Very Satisfied,Dissatisfied,Neutral,Magically Bonded,Neutral,
244,244,2024-04-03,Satisfied,Very Satisfied,Engaged,Neutral,Hostile,
245,245,2025-01-11,Very Satisfied,Satisfied,Highly Engaged,Neutral,Neutral,
246,246,2025-01-19,Dissatisfied,Very Satisfied,Highly Engaged,Hostile,Hostile,
247,247,2024-05-15,Neutral,Neutral,Disengaged,Magically Bonded,Friendly,
248,248,2025-03-12,Very Dissatisfied,Satisfied,Somewhat Engaged,Magically Bonded,Cold,
249,249,2024-05-13,Dissatisfied,Very Dissatisfied,Highly Engaged,Cold,Hostile,
250,250,2025-03-16,Neutral,Very Satisfied,Somewhat Engaged,Friendly,Cold,
251,251,2024-08-04,Neutral,Neutral,Neutral,Hostile,Cold,Unit wait near check occur sometimes course.
252,252,2024-06-22,Neutral,Dissatisfied,Disengaged,Hostile,Friendly,
253,253,2025-01-03,Dissatisfied,Neutral,Neutral,Hostile,Cold,
254,254,2025-02-03,Very Dissatisfied,Neutral,Somewhat Engaged,Magically Bonded,Friendly,
255,255,2024-06-10,Very Dissatisfied,Very Satisfied,Engaged,Cold,Neutral,Purpose set argue top house capital language sort pass.
256,256,2024-05-17,Neutral,Satisfied,Highly Engaged,Friendly,Hostile,Nor court so could allow treatment wrong voice particularly yourself.
257,257,2024-11-28,Very Dissatisfied,Satisfied,Neutral,Magically Bonded,Friendly,
258,258,2025-02-12,Very Dissatisfied,Very Satisfied,Engaged,Friendly,Friendly,
259,259,2024-12-23,Satisfied,Very Satisfied,Somewhat Engaged,Neutral,Friendly,Window current huge consider professional paper sell increase interview source company out.
260,260,2024-08-05,Very Satisfied,Satisfied,Disengaged,Neutral,Magically Bonded,Chance economy threat could use live become step race us charge meet sign value contain.
261,261,2024-08-20,Neutral,Satisfied,Highly Engaged,Magically Bonded,Friendly,
262,262,2024-10-19,Very Dissatisfied,Dissatisfied,Disengaged,Hostile,Magically Bonded,
263,263,2024-06-06,Neutral,Very Satisfied,Disengaged,Neutral,Magically Bonded,
264,264,2025-01-29,Satisfied,Very Satisfied,Highly Engaged,Magically Bonded,Magically Bonded,
265,265,2024-11-12,Neutral,Satisfied,Somewhat Engaged,Friendly,Magically Bonded,
266,266,2024-07-13,Very Dissatisfied,Dissatisfied,Highly Engaged,Friendly,Magically Bonded,
267,267,2025-01-17,Neutral,Dissatisfied,Disengaged,Cold,Friendly,Middle catch but blue report should room image threat reduce hospital front.
268,268,2024-12-12,Neutral,Very Dissatisfied,Somewhat Engaged,Neutral,Hostile,
269,269,2024-08-02,Very Dissatisfied,Very Satisfied,Engaged,Friendly,Friendly,
270,270,2025-01-12,Satisfied,Very Dissatisfied,Highly Engaged,Neutral,Hostile,Indicate accept position individual benefit sport war star no will election.
271,271,2025-01-21,Dissatisfied,Neutral,Engaged,Magically Bonded,Neutral,Minute law system lay guess development couple movie mouth.
272,272,2024-04-09,Very Satisfied,Dissatisfied,Disengaged,Cold,Magically Bonded,
273,273,2024-07-06,Satisfied,Very Dissatisfied,Engaged,Hostile,Hostile,Professor enjoy long brother able media fear whatever increase society.
274,274,2024-06-30,Dissatisfied,Satisfied,Highly Engaged,Hostile,Neutral,
275,275,2024-12-04,Satisfied,Neutral,Somewhat Engaged,Cold,Cold,
276,276,2025-01-16,Satisfied,Satisfied,Highly Engaged,Friendly,Hostile,
277,277,2024-11-03,Dissatisfied,Satisfied,Engaged,Cold,Hostile,
278,278,2024-07-19,Very Dissatisfied,Very Dissatisfied,Highly Engaged,Neutral,Magically Bonded,
